Name	NumberElected	Office	PrimaryParty
IN House District 8	1	IN House District 8	
IN House District 9	1	IN House District 9	
IN House District 10	1	IN House District 10	
IN House District 11	1	IN House District 11	
IN House District 12	1	IN House District 12	
IN House District 13	1	IN House District 13	
IN House District 14	1	IN House District 14	
IN House District 15	1	IN House District 15	
IN House District 16	1	IN House District 16	
IN House District 17	1	IN House District 17	
IN House District 18	1	IN House District 18	
IN House District 19	1	IN House District 19	
IN House District 20	1	IN House District 20	
IN House District 21	1	IN House District 21	
IN House District 22	1	IN House District 22	
IN House District 23	1	IN House District 23	
IN House District 24	1	IN House District 24	
IN House District 25	1	IN House District 25	
IN House District 26	1	IN House District 26	
IN House District 27	1	IN House District 27	
IN House District 28	1	IN House District 28	
IN House District 29	1	IN House District 29	
IN House District 30	1	IN House District 30	
IN House District 31	1	IN House District 31	
IN House District 32	1	IN House District 32	
IN House District 33	1	IN House District 33	
IN House District 34	1	IN House District 34	
IN House District 35	1	IN House District 35	
IN House District 36	1	IN House District 36	
IN House District 37	1	IN House District 37	
IN House District 38	1	IN House District 38	
IN House District 39	1	IN House District 39	
IN House District 40	1	IN House District 40	
IN House District 41	1	IN House District 41	
IN House District 42	1	IN House District 42	
IN House District 43	1	IN House District 43	
IN House District 44	1	IN House District 44	
IN House District 45	1	IN House District 45	
IN House District 46	1	IN House District 46	
IN House District 47	1	IN House District 47	
IN House District 48	1	IN House District 48	
IN House District 49	1	IN House District 49	
IN House District 50	1	IN House District 50	
IN House District 51	1	IN House District 51	
IN House District 52	1	IN House District 52	
IN House District 53	1	IN House District 53	
IN House District 54	1	IN House District 54	
IN House District 55	1	IN House District 55	
IN House District 56	1	IN House District 56	
IN House District 57	1	IN House District 57	
IN House District 58	1	IN House District 58	
IN House District 59	1	IN House District 59	
IN House District 60	1	IN House District 60	
IN House District 61	1	IN House District 61	
IN House District 62	1	IN House District 62	
IN House District 63	1	IN House District 63	
IN House District 64	1	IN House District 64	
IN House District 65	1	IN House District 65	
IN House District 66	1	IN House District 66	
IN House District 67	1	IN House District 67	
IN House District 68	1	IN House District 68	
IN House District 69	1	IN House District 69	
IN House District 70	1	IN House District 70	
IN House District 71	1	IN House District 71	
IN House District 72	1	IN House District 72	
IN House District 73	1	IN House District 73	
IN House District 74	1	IN House District 74	
IN House District 75	1	IN House District 75	
IN House District 76	1	IN House District 76	
IN House District 77	1	IN House District 77	
IN House District 78	1	IN House District 78	
IN House District 79	1	IN House District 79	
IN House District 80	1	IN House District 80	
IN House District 81	1	IN House District 81	
IN House District 82	1	IN House District 82	
IN House District 83	1	IN House District 83	
IN House District 84	1	IN House District 84	
IN House District 85	1	IN House District 85	
IN House District 86	1	IN House District 86	
IN House District 87	1	IN House District 87	
IN House District 88	1	IN House District 88	
IN House District 89	1	IN House District 89	
IN House District 90	1	IN House District 90	
IN House District 91	1	IN House District 91	
IN House District 92	1	IN House District 92	
IN House District 93	1	IN House District 93	
IN House District 94	1	IN House District 94	
IN House District 95	1	IN House District 95	
IN House District 96	1	IN House District 96	
IN House District 97	1	IN House District 97	
IN House District 98	1	IN House District 98	
IN House District 99	1	IN House District 99	
IN House District 100	1	IN House District 100	
IN Senate District 1	1	IN Senate District 1	
IN Senate District 2	1	IN Senate District 2	
IN Senate District 3	1	IN Senate District 3	
IN Senate District 4	1	IN Senate District 4	
IN Senate District 5	1	IN Senate District 5	
IN Senate District 6	1	IN Senate District 6	
IN Senate District 7	1	IN Senate District 7	
IN Senate District 8	1	IN Senate District 8	
IN Senate District 9	1	IN Senate District 9	
IN Senate District 10	1	IN Senate District 10	
IN Senate District 11	1	IN Senate District 11	
IN Senate District 12	1	IN Senate District 12	
IN Senate District 13	1	IN Senate District 13	
IN Senate District 14	1	IN Senate District 14	
IN Senate District 15	1	IN Senate District 15	
IN Senate District 16	1	IN Senate District 16	
IN Senate District 17	1	IN Senate District 17	
IN Senate District 18	1	IN Senate District 18	
IN Senate District 19	1	IN Senate District 19	
IN Senate District 20	1	IN Senate District 20	
IN Senate District 21	1	IN Senate District 21	
IN Senate District 22	1	IN Senate District 22	
IN Senate District 23	1	IN Senate District 23	
IN Senate District 24	1	IN Senate District 24	
IN Senate District 25	1	IN Senate District 25	
IN Senate District 26	1	IN Senate District 26	
IN Senate District 27	1	IN Senate District 27	
IN Senate District 28	1	IN Senate District 28	
IN Senate District 29	1	IN Senate District 29	
IN Senate District 30	1	IN Senate District 30	
IN Senate District 31	1	IN Senate District 31	
IN Senate District 32	1	IN Senate District 32	
IN Senate District 33	1	IN Senate District 33	
IN Senate District 34	1	IN Senate District 34	
IN Senate District 35	1	IN Senate District 35	
IN Senate District 36	1	IN Senate District 36	
IN Senate District 37	1	IN Senate District 37	
IN Senate District 38	1	IN Senate District 38	
IN Senate District 39	1	IN Senate District 39	
IN Senate District 40	1	IN Senate District 40	
IN Senate District 41	1	IN Senate District 41	
IN Senate District 42	1	IN Senate District 42	
IN Senate District 43	1	IN Senate District 43	
IN Senate District 44	1	IN Senate District 44	
IN Senate District 45	1	IN Senate District 45	
IN Senate District 46	1	IN Senate District 46	
IN Senate District 47	1	IN Senate District 47	
IN Senate District 48	1	IN Senate District 48	
IN Senate District 49	1	IN Senate District 49	
IN Senate District 50	1	IN Senate District 50	
US House IN District 1	1	US House IN District 1	
US House IN District 2	1	US House IN District 2	
US House IN District 3	1	US House IN District 3	
US House IN District 4	1	US House IN District 4	
US House IN District 5	1	US House IN District 5	
US House IN District 6	1	US House IN District 6	
US House IN District 7	1	US House IN District 7	
US House IN District 8	1	US House IN District 8	
US House IN District 9	1	US House IN District 9	
US President (IN)	1	US President (IN)	
IN Governor	1	IN Governor	
US Senate IN	1	US Senate IN	
IN Attorney General	1	IN Attorney General	
IN Lieutenant Governor	1	IN Lieutenant Governor	
IN Treasurer	1	IN Treasurer	
IN Secretary of State	1	IN Secretary of State	
